index,id,title,overview,vote_count,poster_path
134,766507,Prey,hunter alien life form prequel alien native american bear decapitation dog severed foot bear attack comanche human vs alien indigenous peoples severed arm dog hero 1700s great plains Thriller Action Science Fiction AmberMidthunder DakotaBeavers MichelleThrush StormeeKipp JulianBlackAntelope DanTrachtenberg,5252.0,/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg
139,436270,Black Adam,lightning anti hero superhero based on comic demon superhero team duringcreditsstinger dc extended universe (dceu) Action Adventure Science Fiction DwayneJohnson AldisHodge NoahCentineo SarahShahi QuintessaSwindell JaumeCollet-Serra,5217.0,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
146,508947,Turning Red,canada shapeshifting temple toronto canada concert friendship panda coming of age teenage girl female protagonist east asian lead animal domineering mother perfectionist aftercreditsstinger chinese canadian woman director ancestor boy band mother daughter relationship Animation Family Comedy Fantasy RosalieChiang SandraOh AvaMorse HyeinPark MaitreyiRamakrishnan DomeeShi,3955.0,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg
149,715931,Emancipation,slavery based on true story black slave escape from slavery united states Action Drama Thriller WillSmith BenFoster CharmaineBingwa StevenOgg GilbertOwuor AntoineFuqua,791.0,/s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg
150,536554,M3GAN,artificial intelligence evil doll aunt niece relationship orphan car accident niece robot juvenile delinquent doll information leak dead dog nosy neighbor hit by a car dead parents attacked by a dog creepy doll possessed doll Science Fiction Horror AllisonWilliams VioletMcGraw JennaDavis AmieDonald JenVanEpps GerardJohnstone,2811.0,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg
151,453395,Doctor Strange in the Multiverse of Madness,magic superhero based on comic alternate reality aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) multiverse Fantasy Action Adventure BenedictCumberbatch ElizabethOlsen ChiwetelEjiofor BenedictWong XochitlGomez SamRaimi,7408.0,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg
154,458220,Palmer,homophobia small town young boy ex con house trailer bullied irresponsible parent adult child friendship guardianship drug addict Drama JustinTimberlake RyderAllen JunoTemple AlishaWainwright JuneSquibb FisherStevens,1014.0,/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg
157,335977,Indiana Jones and the Dial of Destiny,ancient rome treasure hunt sequel flashback knife fight archaeologist adventurer 1960s nazi germany Adventure Action Fantasy HarrisonFord PhoebeWaller Bridge MadsMikkelsen BoydHolbrook JamesMangold,917.0,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg
158,580489,Venom: Let There Be Carnage,hero anti hero villain psychopath sequel superhero based on comic creature fear aftercreditsstinger symbiote carnage venom character Science Fiction Action Adventure TomHardy WoodyHarrelson MichelleWilliams NaomieHarris ReidScott AndySerkis,8704.0,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg
160,787752,Fresh,date kidnapping female friendship meat love dating cannibal body mutilation woman director cannibalism Horror Thriller Comedy DaisyEdgar Jones SebastianStan JojoT.Gibbs AndreaBang MimiCave,1236.0,/tlu71AgaL3EQBBCNGsAwZLPbV5D.jpg
163,882598,Smile,suicide detective paranoia therapist trauma curse hospital doctor mental illness evil psychotic demonic based on short film ptsd Horror Mystery Thriller SosieBacon KyleGallner CaitlinStasey JessieT.Usher KalPenn ParkerFinn,1758.0,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg
164,8869,Eight Legged Freaks,spider creature pick up wetting pants hockey mask barbershop perfume aunt nephew relationship straight razor forklift contamination animal horror Action Comedy Horror Thriller DavidArquette KariWuhrer DougE.Doug ScarlettJohansson RickOverton ElloryElkayem,1061.0,/1hf7x6WmyXtL1MlY4eSlTbZ8Nzu.jpg
165,672,Harry Potter and the Chamber of Secrets,flying car witch sword magic diary child hero school of witchcraft giant spider giant snake black magic child driving car wizard aftercreditsstinger based on young adult novel elf Adventure Fantasy DanielRadcliffe RupertGrint EmmaWatson KennethBranagh JohnCleese ChrisColumbus,19555.0,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
168,717728,Jeepers Creepers: Reborn, Horror Thriller Mystery SydneyCraven ImranAdams JarreauBenjamin MattBarkley PeterBrooke TimoVuorensola,649.0,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg
171,118340,Guardians of the Galaxy,spacecraft based on comic space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) Action Science Fiction Adventure ChrisPratt ZoeSaldaña DaveBautista VinDiesel BradleyCooper JamesGunn,25891.0,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg
175,674,Harry Potter and the Goblet of Fire,witch based on novel or book world cup maze magic dying and death school of witchcraft chosen one black magic mermaid boarding school vision school tournament dragon wizard teenage hero based on young adult novel Adventure Fantasy Family DanielRadcliffe RupertGrint EmmaWatson RobbieColtrane RalphFiennes MikeNewell,18491.0,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
176,585511,Luck,bad luck superstition computer animation female protagonist Animation Adventure Comedy Fantasy EvaNoblezada SimonPegg JaneFonda WhoopiGoldberg FlulaBorg PeggyHolmes,1158.0,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg
177,539681,DC League of Super-Pets,superhero based on comic super power aftercreditsstinger duringcreditsstinger evil mastermind talking animals Animation Action Family Comedy Science Fiction DwayneJohnson KevinHart JohnKrasinski KeanuReeves KateMcKinnon JaredStern,1136.0,/r7XifzvtezNt31ypvsmb6Oqxw49.jpg
180,634649,Spider-Man: No Way Home,new york city loss of loved one showdown secret identity hero magic villain dangerous vigilante portal sequel superhero superhero team alternate reality masked vigilante spider web aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) teenage hero fight for justice superhero teamup returning hero crossover teamwork Action Adventure Science Fiction TomHolland Zendaya BenedictCumberbatch JacobBatalon JonFavreau JonWatts,18149.0,/5weKu49pzJCt06OPpjvT80efnQj.jpg
182,671,Harry Potter and the Philosopher's Stone,london england witch based on novel or book magic school friend child hero school of witchcraft chosen one friendship boarding school school shopping fantasy world wizard christmas based on young adult novel forbidden owl Adventure Fantasy DanielRadcliffe RupertGrint EmmaWatson RichardHarris TomFelton ChrisColumbus,24348.0,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
190,808,Shrek,magic liberation lordship prince castle fairy tale robin hood enchantment swamp princess parody anthropomorphism dragon woman director ogre cartoon donkey Animation Comedy Fantasy Adventure Family MikeMyers EddieMurphy CameronDiaz JohnLithgow VincentCassel AndrewAdamson,14992.0,/jhTVNBVkdS4Wf6NXYA9kRKQU3YM.jpg
194,767,Harry Potter and the Half-Blood Prince,london england witch magic dying and death school of witchcraft apparition curse teenage crush school werewolf teenage love luck wizard secret past based on young adult novel Adventure Fantasy DanielRadcliffe RupertGrint EmmaWatson HelenaBonhamCarter JimBroadbent DavidYates,17383.0,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
195,836225,The Exorcism of God,prison mexico small town exorcism possession possessed exorcist Horror WillBeinbrink MaríaGabrieladeFaría IránCastillo JosephMarcell HectorKotsifakis AlejandroHidalgo,796.0,/9X9wKbF0ED1AQpgIkvq0MG4Y4wi.jpg
